role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Teacher,26,Female,Rural,Nagar,rarely,"We get many informative things from technology 
","We get information from technology which could be not present in content 
","Language, internet access, WiFi and teacher training 
",No,No,"Learning easily pick by students and we also use different teaching methods 
",Yes,"Negative impacts of technology on us and disturbs our mutual understanding 
",No,Yes,"Technology built self independent character in students 
",No,Yes,Yes,No,"WiFi, internet access, electricity and Library 
","In primary section their should be proper usage of technology and computers 
",not at all,Yes,No,Yes,Yes,Positive,Positive,Positive,Negative,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,,"Time utilization, better understanding and comperhensive learning.",Electrical problem and lack of resources.,Yes,Yes,It has made easeirs to learn todays words.,Yes,,Yes,Yes,It can incrases digital lictearcy and it can enhance communication with other world.,No,Yes,Yes,Yes,Time management research development and simplying task.,"It can create increament reliance, can enhance digital grading systems.",moderately,Yes,Yes,No,No,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Rural ,Nagar ,several times a week,"Visual poems and many other educational programs 
","Technology using increase understandings
",Medical issues ,No,No,"Technology helps me in better understanding of the content 
",Yes,"Negative impacts on social relationships
",Yes,Yes,"Self based learning improves creativity 
",Yes,No,Yes,No,"Power point lectures and visual aids related to the content 
",,very,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,29,Female,Karimabad,Hunza,several times a week,They can learn new staff.,Listening skill and speaking skill.,Due to weak signls we rae facing challenges.,Yes,No,We easy convey message through technology.,Yes,We are always in connect with the good relation.,Yes,Yes,When they watched educational vedioes.,No,Yes,Yes,No,LEDs in every class with internet .,"LED,computer ,electricity and digital classes.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,37,Male,Aliabad,Hunza,weekly, NA,Use variety of technology tools and resources.,Limitation:balancing technology   challenges:engage community and parents.,Yes,No,Tecnology changes us because now adays we use it and get many information.,No,Technology impact on our social skill.,Yes,Yes,,Yes,Yes,Yes,No,Tablets and educatinal software.,AI and internet,very,Yes,No,Yes,Yes,Negative,Positive,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,,Teachnology  provides Graphic learning ,School cannot manage technology due to lack finincial resources ,Yes,No,students learn deep knowledge from youtuble which increase his understanding,Yes,we use technology to learn from relatives ,No,Yes,through proper facilitation of IT,No,Yes,Yes,No,Mutimedia and screen system and with it system,,slightly,No,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Student,42,Female,Rural ,Nagar ,never,Technology is best to support students primary objectives,"Prepare students for future 
","Financial problem for example students can't pay 
",No,No,"I learn more from technology 
",No,"It has changed the life both positive and negative 
",No,No,"Technology helps in empowering students creativity 
",Yes,Yes,Yes,No,"Vedio and audio aids related to the content 
","Vedio and audio aids related to the content 
",slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,daily,,trained teachers related to IT is essentail in primary education,miss  use  of  technology is one of main challengies ,Yes,Yes,before we were depend on teacher but now we are depend on technology,Yes,"sometimes technology creates  social isolation, another problem is he or she adopated other culture",Yes,Yes,use learning Apps and band remaing unwanted applications to develop skill,Yes,Yes,No,Yes,Multimedia and computer and proper internet connection will  benefical,with the change of time technology should be improved,moderately,Yes,No,No,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,30,Male,Nagar Khas,Nagar,weekly,"yes, Technology can suppport in learning objectives  of primary studennts in many aspects like audios, visual , Ads and documents","By using audios, visual, ads , computer, and projectors",in most of school computer is available and other technology accessories,Yes,Yes,,Yes,"By watching, videos on social skills that improve skills",No,Yes,"yes by playing games,problem skills and improvement",Yes,Yes,Yes,No,Projectors and Audio visual Aids.,Government should provide  internet connection in school,slightly,Yes,No,Yes,No,Positive,Positive,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,with the help of technology primary level of students can easily solve their problem and understand easily,usings books in primary education,"light issues, and internet",Yes,Yes,fast learning and no wastage of time,No,we can easily communicate with our relatives and friends,Yes,Yes,by enhancing much interest,Yes,Yes,Yes,Yes,LEDs and AI genertated tools,application of classes to advanced language,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,technology is best resources of learning it quick acess and provide in depth  knwoldge about lesson,students learns how to use tecnology and and its importance with the help of such facilities ,lack of awarness and training,Yes,No,it provide  us everything promptly,Yes,It has  many great lessons,No,Yes,It help to learn the things quickly. Students know how to use technology,No,No,Yes,No,"Computer Lab, Multimedia, and other Basic equipment.",in future students will totally depend on technology,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,daily,,Activites based learning integation of ICT provide to connect more with global world where their enhance their skill on demand of the market  ,student especially get additic to thr media and not forces on studies rather then there own activity. Time management for student is much better.,Yes,No,It makes easy to showcase the items that are same time difficult for a teacher to elaborate especially phyices or in sciecnce subjects.,Yes,It gets more involveds in relationship which fail the apportunities of get together and had inhance a gape ,No,Yes,,Yes,Yes,Yes,Yes,"Field studies, trips toward nature and low cost no cost matarial  should be used in classroom",Must be STEAM based education that must create certain skills in them not to make book worm,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,yes student learn more things then without tschnology,it provides indepth knowledge and quick access to every problem solutions,financials issues by gagets and its maintainace,Yes,Yes,now I'm not much depend on teacher because of teachnology,Yes,we can know contact with teachers and teacher can manage all things out of class,Yes,Yes,technology should install in school and give training to both students and teachers,Yes,Yes,Yes,Yes,"computer Lab, projector and sound system ",with the passage of time technology will increase and developed,very,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,33,Male,Karimabad,Hunza,weekly,Priovide learning objective easily and know the exact level primary classes.,Technology make the lesson attractive and motivate the student for learning.student can improve different skills through awarness and training it can be maximized.,"Power short fall,lack of internet facility and low percentage of budget allocation.",Yes,Yes,By using technology learn different teaching methods.Easy to cover curriculum by using technology.Students learn from different teachers all over the world.,Yes,Easily connect people of the world through technology.World become global village improve health care and nutrition system.Provide waste amount of information.,Yes,Yes,Through technology design different types of activities to develop as critical thinking creativities etc.,Yes,Yes,Yes,Yes,Provide easy access of technology to classroom and provide digital resource to classroom.,Technology enhance creative learning in primary education.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,daily,,"Integration,real stories and interaction intellectual information.",social media can effectively involve if it is missed use.,Yes,No,It enhance our lesson activities.,Yes,Time limitation restuction.,Yes,Yes,It create critical thinking and develop a holistic approch by seeing the object from real life or daily life.,Yes,Yes,Yes,Yes,Integration labs are benefical for lesson.,Effective lesson design by the teacher using technology like LMS.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
